PropertyValue,Income,Default
118000.0,1740.0,1
508000.0,9480.0,0
658000.0,11880.0,0
758000.0,10440.0,0
1008000.0,10080.0,0
438000.0,5040.0,0
308000.0,3780.0,0
478000.0,5580.0,0
688000.0,6720.0,0
168000.0,4020.0,1
708000.0,9540.0,0
258000.0,3780.0,1
298000.0,7860.0,0
138000.0,2220.0,1
368000.0,5340.0,1
168000.0,3120.0,1
598000.0,5340.0,0
748000.0,12540.0,0
558000.0,16860.0,0
198000.0,2100.0,0
448000.0,2880.0,1
508000.0,2760.0,0
428000.0,4980.0,0
568000.0,8940.0,0
258000.0,3840.0,0
218000.0,3840.0,0
468000.0,4920.0,0
258000.0,5400.0,0
318000.0,5580.0,0
338000.0,3720.0,0
538000.0,7500.0,0
408000.0,3540.0,0
1018000.0,9180.0,0
1108000.0,9660.0,0
418000.0,3780.0,1
418000.0,7560.0,1
528000.0,9060.0,0
198000.0,3480.0,0
248000.0,3120.0,1
1508000.0,13620.0,1
528000.0,7380.0,0
508000.0,4920.0,0
608000.0,3720.0,0
668000.0,6780.0,0
338000.0,9060.0,0
708000.0,9600.0,0
808000.0,22500.0,0
948000.0,3300.0,1
128000.0,4140.0,1
598000.0,6000.0,0
238000.0,6600.0,0
608000.0,11340.0,0
718000.0,7080.0,0
298000.0,4800.0,0
888000.0,8520.0,0
148000.0,2760.0,0
628000.0,7140.0,0
608000.0,5820.0,0
658000.0,12000.0,1
258000.0,3720.0,0
928000.0,5880.0,0
208000.0,3300.0,0
748000.0,8400.0,0
318000.0,5520.0,0
168000.0,2040.0,0
1198000.0,8580.0,0
428000.0,10740.0,0
188000.0,2400.0,1
408000.0,12600.0,0
298000.0,5040.0,0
588000.0,7860.0,0
1308000.0,5700.0,0
218000.0,2580.0,0
688000.0,15180.0,0
658000.0,8700.0,0
678000.0,8160.0,1
808000.0,9180.0,1
288000.0,5640.0,1
2008000.0,7980.0,0
578000.0,9840.0,0
3408000.0,11460.0,0
348000.0,3660.0,0
588000.0,7140.0,0
88000.0,2940.0,0
208000.0,3000.0,0
598000.0,14640.0,0
498000.0,3840.0,0
348000.0,2880.0,0
318000.0,7680.0,0
438000.0,6840.0,0
818000.0,10260.0,0
408000.0,3120.0,1
588000.0,17340.0,0
1308000.0,12180.0,0
558000.0,5520.0,0
508000.0,6060.0,1
528000.0,2640.0,0
288000.0,4920.0,0
228000.0,4200.0,0
208000.0,8160.0,0
768000.0,11400.0,0
318000.0,3240.0,0
388000.0,3300.0,0
318000.0,3840.0,0
288000.0,6600.0,1
608000.0,8400.0,0
598000.0,5820.0,0
618000.0,6540.0,0
898000.0,15240.0,0
278000.0,5280.0,0
588000.0,8280.0,0
978000.0,16740.0,0
138000.0,2220.0,0
198000.0,3780.0,0
208000.0,5580.0,1
1308000.0,11760.0,0
1708000.0,54300.0,1
608000.0,4680.0,0
438000.0,4140.0,0
858000.0,10020.0,0
808000.0,9000.0,0
568000.0,8580.0,0
458000.0,7080.0,0
238000.0,4920.0,0
258000.0,3960.0,0
478000.0,3600.0,0
638000.0,6180.0,0
1208000.0,10080.0,0
188000.0,2520.0,0
468000.0,10200.0,0
208000.0,2520.0,1
648000.0,7980.0,0
668000.0,11640.0,1
908000.0,13560.0,0
588000.0,4800.0,0
538000.0,26100.0,0
618000.0,9000.0,0
1138000.0,14220.0,0
798000.0,10800.0,0
798000.0,19620.0,0
118000.0,2640.0,1
418000.0,11880.0,0
658000.0,6660.0,0
88000.0,3240.0,1
288000.0,3360.0,0
198000.0,840.0,0
628000.0,7020.0,0
118000.0,1500.0,1
428000.0,9180.0,0
138000.0,3960.0,0
308000.0,4440.0,0
318000.0,6480.0,0
218000.0,4140.0,0
158000.0,1860.0,1
418000.0,8280.0,0
828000.0,9900.0,0
578000.0,78120.0,1
138000.0,3180.0,0
398000.0,3540.0,0
158000.0,3120.0,0
468000.0,6960.0,0
108000.0,1980.0,1
278000.0,18420.0,1
248000.0,2940.0,1
618000.0,1740.0,0
338000.0,8280.0,0
1268000.0,13140.0,0
138000.0,2220.0,0
538000.0,18240.0,0
558000.0,8760.0,0
1068000.0,15840.0,1
338000.0,5880.0,0
78000.0,1260.0,0
388000.0,2100.0,0
858000.0,0.0,1
768000.0,18000.0,0
288000.0,4320.0,0
408000.0,4560.0,0
148000.0,2460.0,0
1298000.0,9060.0,0
298000.0,8220.0,1
208000.0,7380.0,0
638000.0,7440.0,0
548000.0,10800.0,0
358000.0,1380.0,1
248000.0,4020.0,0
158000.0,2220.0,1
