"","loan_amount","income","status"
"1",516500,9600,0
"2",126500,1740,0
"3",216500,3420,0
"4",266500,5400,0
"5",276500,5160,0
"6",146500,1380,0
"7",66500,1080,0
"8",656500,11880,1
"9",386500,12180,0
"10",316500,9120,0
"11",416500,10020,0
"12",226500,2100,0
"13",306500,8940,0
"14",246500,5580,0
"15",96500,2100,0
"16",86500,2220,0
"17",126500,2640,0
"18",486500,5340,0
"19",396500,5940,0
"20",426500,4560,0
"21",266500,6120,0
"22",186500,3420,0
"23",346500,11460,0
"24",196500,7800,0
"25",456500,7200,0
"26",446500,10560,0
"27",376500,5040,0
"28",396500,6600,0
"29",406500,14040,0
"30",76500,1020,0
"31",566500,12960,1
"32",236500,5160,0
"33",186500,3480,0
"34",186500,3840,0
"35",336500,7620,0
"36",276500,2520,0
"37",376500,4500,0
"38",316500,7500,0
"39",286500,7080,0
"40",136500,4140,0
"41",326500,8520,0
"42",426500,8640,0
"43",526500,5880,0
"44",106500,25800,0
"45",336500,7920,0
"46",256500,5040,0
"47",476500,5580,0
"48",486500,7020,0
"49",556500,7500,0
"50",66500,2160,0
"51",236500,3000,0
"52",156500,3600,0
"53",206500,8100,0
"54",326500,7800,0
"55",196500,1380,0
"56",516500,7440,1
"57",236500,3480,0
"58",316500,9240,0
"59",476500,4920,0
"60",756500,11400,1
"61",536500,7080,0
"62",246500,4860,0
"63",226500,8160,0
"64",146500,2160,0
"65",76500,3240,0
"66",116500,1500,0
"67",406500,6960,0
"68",376500,3720,0
"69",406500,7080,0
"70",76500,1500,0
"71",296500,3240,0
"72",336500,10380,0
"73",396500,4080,0
"74",276500,3240,0
"75",236500,5760,0
"76",176500,3600,0
"77",316500,4200,0
"78",416500,4020,0
"79",426500,5700,0
"80",546500,9240,1
"81",136500,3420,0
"82",146500,1380,0
"83",336500,7560,0
"84",646500,17160,1
"85",666500,8700,1
"86",106500,2220,0
"87",316500,5040,0
"88",86500,1620,0
"89",466500,9600,0
"90",206500,2700,0
"91",156500,5400,0
"92",276500,4080,0
"93",406500,5100,0
"94",596500,7740,1
"95",216500,3240,0
"96",86500,1740,0
"97",326500,5400,0
"98",526500,7560,0
"99",246500,4680,0
"100",276500,9120,0
"101",506500,12480,0
"102",256500,8220,0
"103",356500,5040,0
"104",186500,2820,0
"105",496500,5880,0
"106",316500,6360,0
"107",1086500,11340,1
"108",386500,6960,0
"109",576500,55140,1
"110",396500,5340,0
"111",316500,4140,0
"112",406500,12600,0
"113",416500,6540,0
"114",606500,8280,1
"115",796500,26160,1
"116",806500,7380,1
"117",286500,7800,0
"118",206500,6600,0
"119",226500,14040,0
"120",336500,4740,0
"121",446500,9120,1
"122",356500,7920,0
"123",336500,0,0
"124",236500,7080,0
"125",366500,6120,0
"126",96500,14100,0
"127",396500,20940,0
"128",546500,4560,0
"129",566500,6960,1
"130",366500,3300,0
"131",236500,3780,0
"132",296500,7620,0
"133",396500,5340,0
"134",326500,5400,0
"135",276500,3600,0
"136",456500,9720,0
"137",216500,3840,0
"138",306500,5460,0
"139",446500,7620,1
"140",676500,15540,1
"141",216500,2580,0
"142",426500,7800,0
"143",306500,3180,0
"144",246500,53280,0
"145",136500,2520,0
"146",156500,4800,0
"147",656500,9540,1
"148",576500,10980,1
"149",106500,1680,0
"150",296500,8640,0
"151",276500,4800,0
"152",76500,4800,0
"153",176500,6540,0
"154",156500,2580,0
"155",396500,4140,0
"156",726500,11280,1
"157",416500,7440,0
"158",206500,5340,0
"159",386500,12960,0
"160",186500,9000,0
"161",336500,7200,0
"162",146500,2040,0
"163",136500,3120,0
"164",326500,4560,0
"165",106500,1800,0
"166",276500,4560,0
"167",106500,1560,0
"168",136500,7740,0
"169",266500,5940,0
"170",146500,2940,0
"171",246500,3960,0
"172",166500,3060,0
"173",306500,7980,0
"174",276500,11460,0
"175",276500,4200,0
"176",186500,6660,0
"177",296500,5880,0
"178",266500,4500,0
"179",196500,7440,0
"180",146500,2940,0
"181",326500,19740,0
"182",226500,5940,0
"183",396500,9660,0
"184",126500,1860,0
"185",276500,9660,0
"186",346500,4920,0
"187",486500,17640,0
"188",216500,300,0
"189",676500,10260,1
"190",116500,4860,0
"191",686500,13740,1
"192",396500,16560,0
"193",176500,1980,0
"194",226500,4560,0
"195",56500,4140,0
"196",256500,2700,0
"197",166500,3120,0
"198",266500,6360,0
"199",126500,3180,0
"200",346500,9960,0
"201",406500,38280,0
"202",396500,9660,0
"203",176500,3480,0
"204",366500,7380,0
"205",386500,5460,0
"206",686500,8880,1
"207",846500,10200,1
"208",686500,11220,1
"209",666500,21840,1
"210",1136500,18180,1
"211",446500,7380,0
"212",276500,3480,0
"213",236500,5100,0
"214",436500,10800,0
"215",516500,8880,0
"216",266500,2160,0
"217",176500,6780,0
"218",236500,4080,0
"219",386500,6600,0
"220",286500,6540,0
"221",186500,3540,0
"222",346500,10800,0
"223",416500,10320,0
"224",706500,13620,1
"225",156500,5100,0
"226",256500,3360,0
"227",346500,6060,0
"228",516500,7020,1
"229",456500,10860,0
"230",306500,6840,0
"231",156500,5700,0
"232",186500,2820,0
"233",156500,4020,0
"234",126500,2220,0
"235",266500,10200,0
"236",696500,9960,1
"237",86500,0,0
"238",516500,1920,0
"239",226500,9180,0
"240",246500,6900,0
"241",136500,3420,0
"242",686500,10080,1
"243",766500,12540,1
"244",306500,9720,0
"245",1136500,22920,1
"246",286500,14160,0
"247",476500,6480,0
"248",696500,7200,1
"249",256500,3960,0
"250",516500,6900,1
"251",206500,7620,0
"252",376500,6480,0
"253",776500,11400,1
"254",376500,4620,0
"255",566500,0,1
"256",246500,3780,0
"257",196500,2100,0
"258",306500,5160,0
"259",216500,10080,0
"260",236500,2520,0
"261",306500,6780,0
"262",346500,4560,0
"263",266500,3660,0
"264",196500,3420,0
"265",436500,6720,0
"266",136500,14820,0
"267",276500,7800,0
"268",166500,2160,0
"269",206500,7440,0
"270",606500,9000,1
"271",196500,1260,0
"272",286500,7920,0
"273",236500,3540,0
"274",286500,2520,0
"275",316500,11280,0
"276",526500,6240,0
"277",516500,8400,0
"278",526500,9000,0
"279",576500,16200,1
"280",276500,2940,0
"281",156500,1620,0
"282",226500,3540,0
"283",566500,8220,1
"284",266500,2880,0
"285",706500,9000,1
"286",156500,1680,0
"287",266500,4800,0
"288",296500,11700,0
"289",546500,18000,0
"290",316500,5160,0
"291",186500,2520,0
"292",246500,8880,0
"293",126500,5520,0
"294",396500,11220,0
"295",656500,20100,0
"296",176500,5340,0
"297",396500,13080,0
"298",276500,3660,0
"299",196500,6360,0
"300",186500,1980,0
"301",136500,2760,0
"302",696500,13680,1
"303",166500,3300,0
"304",586500,15480,1
"305",476500,5460,0
"306",386500,6240,0
"307",346500,7140,0
"308",156500,3660,0
"309",696500,12180,1
"310",366500,12900,0
"311",496500,7680,0
"312",486500,8520,0
"313",516500,4800,1
"314",396500,6780,0
"315",156500,2760,0
"316",266500,3600,0
"317",286500,9060,0
"318",246500,3300,0
"319",426500,5340,0
"320",386500,6480,0
"321",556500,8880,0
"322",626500,11160,1
"323",366500,5220,0
"324",346500,4320,0
"325",76500,2520,0
"326",316500,10080,0
"327",596500,5880,1
"328",356500,7680,0
"329",226500,4020,0
"330",276500,4320,0
"331",446500,8580,0
"332",266500,2280,0
"333",406500,6420,0
"334",436500,4800,0
"335",156500,2880,0
"336",226500,5460,0
"337",76500,4620,0
"338",376500,7260,0
"339",726500,12480,1
"340",136500,2040,0
"341",76500,2400,0
"342",286500,5700,0
"343",386500,6660,0
"344",636500,7080,0
"345",306500,7980,0
"346",496500,4980,0
"347",376500,12840,0
"348",156500,3660,0
"349",436500,7200,0
"350",216500,13920,0
"351",286500,3840,0
"352",316500,4980,0
"353",486500,3840,0
"354",296500,4140,0
"355",246500,4800,0
"356",296500,5220,0
"357",176500,4500,0
"358",316500,7500,0
"359",356500,9240,0
"360",356500,5580,0
"361",76500,2700,0
"362",166500,3360,0
"363",186500,5100,0
"364",336500,4380,0
"365",426500,5100,0
"366",436500,23520,0
"367",306500,0,0
"368",186500,4140,0
"369",156500,3600,0
"370",456500,5040,0
"371",326500,9900,0
"372",506500,6060,0
"373",286500,13380,0
"374",246500,4860,0
"375",416500,12780,0
"376",306500,3900,0
"377",236500,5400,0
"378",136500,15900,0
"379",416500,6540,0
"380",1246500,23760,1
"381",486500,11040,0
"382",406500,12900,0
"383",166500,1920,0
"384",386500,6540,0
"385",286500,2520,0
"386",396500,13080,0
"387",426500,7200,0
"388",416500,11940,0
"389",86500,900,0
"390",276500,10320,0
"391",466500,4500,0
"392",536500,12180,1
"393",416500,12300,0
"394",226500,6720,0
"395",86500,5580,0
"396",196500,4920,0
"397",406500,8520,1
"398",276500,3420,0
"399",326500,8940,0
"400",706500,6780,1
"401",586500,7320,0
"402",466500,7380,0
"403",426500,6000,0
"404",556500,7500,1
"405",466500,16260,1
"406",166500,3720,0
"407",226500,8520,0
"408",206500,3060,0
"409",336500,7500,0
"410",266500,6240,0
"411",566500,7500,1
"412",246500,4920,0
"413",456500,11760,0
"414",416500,16620,0
"415",216500,5340,0
"416",286500,5460,0
"417",106500,5100,0
"418",326500,6060,0
"419",396500,5400,0
"420",536500,9180,1
"421",216500,3300,0
"422",466500,6600,0
"423",126500,2160,0
"424",266500,7680,0
"425",806500,11880,1
"426",436500,5040,1
"427",376500,6660,0
"428",366500,5400,0
"429",716500,13080,1
"430",76500,2580,0
"431",326500,4860,0
"432",216500,13200,0
"433",256500,5940,0
"434",616500,10980,1
"435",246500,5640,0
"436",606500,17700,0
"437",206500,2160,0
"438",286500,4020,0
"439",136500,2940,0
"440",346500,11040,0
"441",236500,4560,0
"442",296500,180,0
"443",266500,4440,0
"444",416500,5640,0
"445",96500,2100,0
"446",336500,6300,0
"447",436500,10380,0
"448",736500,12600,1
"449",486500,5040,0
"450",356500,7740,0
"451",96500,1020,0
"452",416500,5820,0
"453",156500,2460,0
"454",696500,8160,1
"455",196500,12480,0
"456",156500,3060,0
"457",396500,20400,0
"458",326500,4980,0
"459",226500,2880,0
"460",266500,6300,0
"461",76500,1680,0
"462",236500,9480,0
"463",376500,7500,0
"464",276500,4920,0
"465",246500,4860,0
"466",346500,3960,0
"467",346500,5040,0
"468",286500,4320,0
"469",196500,4620,0
"470",356500,11280,0
"471",416500,6240,0
"472",436500,4800,0
"473",506500,7980,0
"474",286500,4740,0
"475",126500,1560,0
"476",366500,0,0
"477",656500,9240,1
"478",486500,6540,0
"479",286500,4080,0
"480",196500,1860,0
"481",226500,3060,0
"482",466500,8400,1
"483",186500,2160,0
"484",216500,5400,0
"485",456500,10680,0
"486",696500,8400,1
"487",166500,6000,0
"488",176500,5220,0
"489",416500,13860,0
"490",216500,5700,0
"491",476500,15300,1
"492",526500,9960,0
"493",156500,3120,0
"494",396500,4680,0
"495",226500,5880,0
"496",476500,4860,0
"497",306500,4980,0
"498",186500,2400,0
"499",216500,8520,0
"500",166500,5220,0
"501",446500,6480,0
"502",106500,4380,0
"503",346500,3120,0
"504",476500,8700,0
"505",316500,5880,0
"506",326500,8400,0
"507",296500,9960,0
"508",256500,9540,0
"509",526500,8340,0
"510",96500,2340,0
"511",486500,19920,0
"512",656500,12420,0
"513",606500,9540,1
"514",276500,6000,0
"515",116500,1620,0
"516",146500,2880,0
"517",106500,2460,0
"518",1086500,14220,1
"519",556500,7500,1
"520",446500,8940,0
"521",536500,7980,1
"522",356500,2700,0
"523",116500,3180,0
"524",416500,6480,0
"525",456500,9960,0
"526",336500,4200,0
"527",186500,3060,0
"528",406500,8160,0
"529",196500,3180,0
"530",246500,5400,0
"531",246500,6840,0
"532",336500,7140,0
"533",66500,1920,0
"534",606500,7680,0
"535",506500,10800,1
"536",466500,10980,1
"537",226500,3780,0
"538",366500,11280,0
"539",286500,3480,0
"540",246500,4680,0
"541",76500,2220,0
"542",266500,3180,0
"543",136500,6240,0
"544",136500,5640,0
"545",596500,12600,1
"546",696500,11160,0
"547",246500,8460,0
"548",496500,7260,0
"549",576500,7740,0
"550",316500,4320,0
"551",256500,3960,0
"552",366500,7920,0
"553",666500,7920,1
"554",366500,5280,0
"555",306500,3240,0
"556",726500,14700,1
"557",156500,2400,0
"558",416500,10980,0
"559",326500,4620,0
"560",486500,4920,0
"561",186500,4980,0
"562",246500,5880,0
"563",436500,8280,0
"564",496500,8520,0
"565",426500,11340,0
"566",626500,21300,1
"567",236500,2820,0
"568",96500,2280,0
"569",126500,2580,0
"570",726500,8460,1
"571",346500,5640,0
"572",216500,4020,0
"573",406500,5340,0
"574",246500,9240,0
"575",456500,9360,0
"576",326500,6240,0
"577",126500,1380,0
"578",246500,6360,0
"579",446500,8520,0
"580",346500,8400,0
"581",256500,3180,0
"582",296500,5400,0
"583",336500,4440,0
"584",266500,6600,0
"585",486500,37140,0
"586",206500,3300,0
"587",246500,7260,0
"588",246500,3660,0
"589",216500,5340,0
"590",316500,3720,0
"591",236500,4980,0
"592",176500,4740,0
"593",196500,3960,0
"594",256500,6300,0
"595",486500,10920,1
"596",316500,5100,0
"597",136500,2940,0
"598",116500,2640,0
"599",126500,3660,0
"600",406500,4860,0
"601",626500,13740,1
"602",76500,1260,0
"603",566500,0,0
"604",436500,6480,1
"605",476500,6420,0
"606",386500,7320,0
"607",376500,9060,0
"608",176500,2880,0
"609",256500,4920,0
"610",116500,3180,0
"611",486500,3300,0
"612",396500,3840,0
"613",506500,20760,0
"614",666500,11100,1
"615",726500,11100,1
"616",236500,4200,0
"617",286500,3000,0
"618",216500,4680,0
"619",266500,4200,0
"620",186500,3000,0
"621",66500,1200,0
"622",146500,1920,0
"623",706500,7740,1
"624",86500,3000,0
"625",346500,6720,0
"626",186500,5820,0
"627",156500,3060,0
"628",336500,3540,0
"629",156500,6480,0
"630",466500,5160,0
"631",116500,4260,0
"632",76500,2580,0
"633",266500,9600,0
"634",126500,1800,0
"635",646500,7680,1
"636",196500,3360,0
"637",616500,8040,1
"638",146500,2580,0
"639",56500,3300,0
"640",176500,4860,0
"641",506500,9480,1
"642",156500,1860,0
"643",486500,5400,0
"644",96500,3960,0
"645",256500,6120,0
"646",296500,5820,0
"647",106500,2280,0
