height,weight,age,male
105.41,13.947954,8.0,0
86.36,10.489315,6.5,0
109.22,15.989118,7.0,0
121.92,20.41164,8.0,1
97.79,13.267566,5.0,0
97.79,12.757275,5.0,0
91.44,12.927372,0.599999999999909,1
113.665,17.463292,6.0,1
113.03,17.8885345,5.0,1
111.76,16.499409,6.0,1
86.36,11.4815475,7.59999999999991,1
74.295,9.752228,1.0,1
96.52,13.097469,5.0,1
116.84,19.391058,8.0,0
100.076,15.081934,6.0,1
91.44,11.7083435,3.0,0
121.92,19.787951,8.0,0
113.665,16.782904,5.0,1
115.6,18.9,7.0,1
96.52,13.267566,3.0,0
103.505,12.757275,6.0,0
94.615,13.0124205,4.0,0
119.38,21.5172705,7.0,1
102.235,13.1258185,6.0,0
114.3,18.3421265,7.0,1
100.965,13.7495075,4.0,1
91.44,12.530479,4.0,1
107.95,17.57669,6.0,1
100.965,14.401546,5.0,1
123.19,20.808533,8.0,1
106.68,15.989118,8.0,0
93.98,14.288148,5.0,0
105.41,15.2236815,5.0,0
111.125,16.669506,8.0,0
92.71,12.076887,5.0,0
101.6,15.3370795,5.0,0
111.76,17.8318355,8.90000000000009,1
85.09,11.453198,3.0,1
84.455,11.7650425,1.0,1
59.6138,5.896696,1.0,0
92.71,12.1052365,3.0,1
111.125,18.313777,6.0,0
90.805,11.3681495,5.0,0
99.695,16.2442635,5.0,0
62.484,6.80388,1.0,0
81.915,11.8784405,2.0,1
96.52,14.968536,2.0,0
80.01,9.865626,1.0,1
88.265,12.7856245,2.0,0
104.14,15.87572,6.0,0
97.155,17.066399,7.0,0
93.345,13.1825175,5.0,1
91.44,12.927372,6.0,0
60.452,5.6699,1.0,1
81.28,11.509897,1.0,1
109.22,11.7083435,2.0,0
71.12,7.540967,1.0,1
89.2048,12.700576,3.0,0
67.31,7.200773,1.0,0
85.09,12.360382,1.0,1
69.85,7.7961125,1.0,0
88.9,12.5588285,3.0,1
90.17,12.700576,3.0,1
71.755,7.37087,1.0,0
83.82,9.2135875,1.0,0
74.93,8.50485,1.0,1
74.295,8.3064035,1.0,0
90.805,11.623295,3.0,0
67.945,7.9662095,1.0,0
85.09,10.8011595,3.0,1
93.345,14.004653,3.0,0
114.3,18.14368,8.0,1
83.82,10.9145575,3.0,1
114.3,19.050864,7.0,1
93.98,13.834556,4.0,0
76.2,9.2135875,1.0,1
66.04,7.5693165,1.0,1
114.3,19.4194075,8.0,0
69.85,7.314171,0.0,0
67.945,7.824462,0.0,1
68.58,8.0229085,0.0,0
84.455,9.3836845,2.0,1
117.983,20.354941,8.0,1
97.9932,13.2959155,5.0,1
64.135,6.6621325,1.0,0
106.045,16.272613,6.0,1
76.2,8.50485,1.0,0
66.675,8.1363065,0.0,0
62.865,7.200773,0.0,1
62.23,7.257472,0.0,0
55.88,4.8477645,0.0,0
60.96,6.23689,0.0,1
118.11,16.896302,7.0,0
78.105,8.221355,3.0,0
92.71,12.757275,3.0,1
91.44,11.623295,4.0,0
83.185,9.1568885,2.0,1
88.9,11.5949455,3.0,1
111.125,17.690088,6.0,1
85.09,11.4248485,3.0,0
106.045,15.478827,8.0,0
89.535,11.113004,3.0,1
101.6,13.494362,4.0,0
53.975,4.252425,0.0,0
56.515,5.159609,0.0,0
100.965,14.3164975,5.0,1
121.92,23.2182405,8.0,1
81.5848,10.659412,3.0,0
101.6,14.344847,5.0,0
87.63,10.659412,6.0,0
114.935,17.519991,7.0,1
67.945,7.2291225,1.0,0
76.835,8.0229085,1.0,1
71.12,8.051258,0.0,1
