loan_amount,income,status
516500,9600,0
126500,1740,0
216500,3420,0
266500,5400,0
276500,5160,0
146500,1380,0
66500,1080,0
656500,11880,1
386500,12180,0
316500,9120,0
416500,10020,0
226500,2100,0
306500,8940,0
246500,5580,0
96500,2100,0
86500,2220,0
126500,2640,0
486500,5340,0
396500,5940,0
426500,4560,0
266500,6120,0
186500,3420,0
346500,11460,0
196500,7800,0
456500,7200,0
446500,10560,0
376500,5040,0
396500,6600,0
406500,14040,0
76500,1020,0
566500,12960,1
236500,5160,0
186500,3480,0
186500,3840,0
336500,7620,0
276500,2520,0
376500,4500,0
316500,7500,0
286500,7080,0
136500,4140,0
326500,8520,0
426500,8640,0
526500,5880,0
106500,25800,0
336500,7920,0
256500,5040,0
476500,5580,0
486500,7020,0
556500,7500,0
66500,2160,0
236500,3000,0
156500,3600,0
206500,8100,0
326500,7800,0
196500,1380,0
516500,7440,1
236500,3480,0
316500,9240,0
476500,4920,0
756500,11400,1
536500,7080,0
246500,4860,0
226500,8160,0
146500,2160,0
76500,3240,0
116500,1500,0
406500,6960,0
376500,3720,0
406500,7080,0
76500,1500,0
296500,3240,0
336500,10380,0
396500,4080,0
276500,3240,0
236500,5760,0
176500,3600,0
316500,4200,0
416500,4020,0
426500,5700,0
546500,9240,1
136500,3420,0
146500,1380,0
336500,7560,0
646500,17160,1
666500,8700,1
106500,2220,0
316500,5040,0
86500,1620,0
466500,9600,0
206500,2700,0
156500,5400,0
276500,4080,0
406500,5100,0
596500,7740,1
216500,3240,0
86500,1740,0
326500,5400,0
526500,7560,0
246500,4680,0
276500,9120,0
506500,12480,0
256500,8220,0
356500,5040,0
186500,2820,0
496500,5880,0
316500,6360,0
1086500,11340,1
386500,6960,0
576500,55140,1
396500,5340,0
316500,4140,0
406500,12600,0
416500,6540,0
606500,8280,1
796500,26160,1
806500,7380,1
286500,7800,0
206500,6600,0
226500,14040,0
336500,4740,0
446500,9120,1
356500,7920,0
336500,0,0
236500,7080,0
366500,6120,0
96500,14100,0
396500,20940,0
546500,4560,0
566500,6960,1
366500,3300,0
236500,3780,0
296500,7620,0
396500,5340,0
326500,5400,0
276500,3600,0
456500,9720,0
216500,3840,0
306500,5460,0
446500,7620,1
676500,15540,1
216500,2580,0
426500,7800,0
306500,3180,0
246500,53280,0
136500,2520,0
156500,4800,0
656500,9540,1
576500,10980,1
106500,1680,0
296500,8640,0
276500,4800,0
76500,4800,0
176500,6540,0
156500,2580,0
396500,4140,0
726500,11280,1
416500,7440,0
206500,5340,0
386500,12960,0
186500,9000,0
336500,7200,0
146500,2040,0
136500,3120,0
326500,4560,0
106500,1800,0
276500,4560,0
106500,1560,0
136500,7740,0
266500,5940,0
146500,2940,0
246500,3960,0
166500,3060,0
306500,7980,0
276500,11460,0
276500,4200,0
186500,6660,0
296500,5880,0
266500,4500,0
196500,7440,0
146500,2940,0
326500,19740,0
226500,5940,0
396500,9660,0
126500,1860,0
276500,9660,0
346500,4920,0
486500,17640,0
216500,300,0
676500,10260,1
116500,4860,0
686500,13740,1
396500,16560,0
176500,1980,0
226500,4560,0
56500,4140,0
256500,2700,0
166500,3120,0
266500,6360,0
126500,3180,0
346500,9960,0
406500,38280,0
396500,9660,0
176500,3480,0
366500,7380,0
386500,5460,0
686500,8880,1
846500,10200,1
686500,11220,1
666500,21840,1
1136500,18180,1
446500,7380,0
276500,3480,0
236500,5100,0
436500,10800,0
516500,8880,0
266500,2160,0
176500,6780,0
236500,4080,0
386500,6600,0
286500,6540,0
186500,3540,0
346500,10800,0
416500,10320,0
706500,13620,1
156500,5100,0
256500,3360,0
346500,6060,0
516500,7020,1
456500,10860,0
306500,6840,0
156500,5700,0
186500,2820,0
156500,4020,0
126500,2220,0
266500,10200,0
696500,9960,1
86500,0,0
516500,1920,0
226500,9180,0
246500,6900,0
