age,height
2.07E+00,7.79E-01
2.37E+00,9.16E-01
2.54E+00,9.05E-01
2.54E+00,9.06E-01
2.55E+00,9.39E-01
2.79E+00,9.67E-01
2.91E+00,9.64E-01
3.04E+00,9.14E-01
3.11E+00,9.39E-01
3.16E+00,9.61E-01
3.33E+00,8.98E-01
3.38E+00,9.12E-01
3.41E+00,9.42E-01
3.42E+00,9.66E-01
3.53E+00,1.05E+00
3.64E+00,1.01E+00
3.67E+00,9.60E-01
3.93E+00,9.69E-01
4.05E+00,1.08E+00
4.25E+00,1.15E+00
4.34E+00,1.03E+00
4.38E+00,1.01E+00
4.42E+00,9.67E-01
4.61E+00,1.09E+00
4.69E+00,1.06E+00
4.98E+00,1.12E+00
5.04E+00,1.03E+00
5.07E+00,1.09E+00
5.42E+00,1.07E+00
5.44E+00,1.16E+00
5.46E+00,1.08E+00
5.57E+00,1.11E+00
5.60E+00,1.10E+00
5.69E+00,1.16E+00
5.72E+00,1.14E+00
5.85E+00,1.08E+00
6.20E+00,1.13E+00
6.35E+00,1.12E+00
6.48E+00,1.20E+00
6.74E+00,1.21E+00
6.86E+00,1.13E+00
7.02E+00,1.12E+00
7.08E+00,1.21E+00
7.15E+00,1.25E+00
7.47E+00,1.25E+00
7.60E+00,1.18E+00
7.74E+00,1.19E+00
7.77E+00,1.30E+00
7.83E+00,1.26E+00
7.93E+00,1.26E+00
